epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,405.012,1.2796,3.77119,1.48761,0.01286,0.53799,0.18681,0.11587,0.85917,4.06496,1.38418,0.000232333,0.000232333,0.000232333
2,822.953,1.26009,3.06322,1.48417,0.7815,0.2261,0.26251,0.17175,1.26743,3.35329,1.76078,0.000454812,0.000454812,0.000454812
3,1220.74,1.26,2.65169,1.48328,0.53458,0.38614,0.34032,0.18781,1.4439,3.27256,1.84221,0.000661583,0.000661583,0.000661583
4,1615.68,1.2711,2.52487,1.5045,0.39481,0.5664,0.5035,0.29922,1.41343,3.25316,1.82675,0.000643314,0.000643314,0.000643314
5,2011.84,1.2837,2.29489,1.48267,0.67457,0.42898,0.52067,0.32989,1.1617,3.26646,1.61943,0.000619752,0.000619752,0.000619752
6,2407.13,1.28509,2.15314,1.45963,0.35716,0.59506,0.50922,0.30905,1.32229,3.20144,1.71633,0.00059619,0.00059619,0.00059619
7,2799.4,1.2124,2.03687,1.44329,0.49506,0.43182,0.49598,0.28254,1.37991,2.72614,1.74333,0.000572628,0.000572628,0.000572628
8,3194.26,1.2411,1.98961,1.43024,0.7369,0.43258,0.54794,0.33456,1.22747,2.74075,1.66098,0.000549066,0.000549066,0.000549066
9,3589.28,1.21423,1.85662,1.40489,0.57266,0.52554,0.55776,0.33455,1.34581,3.00471,1.75371,0.000525504,0.000525504,0.000525504
10,3983.37,1.12773,1.80134,1.38572,0.57798,0.60217,0.61749,0.38163,1.18798,2.38692,1.64189,0.000501942,0.000501942,0.000501942
11,4378.25,1.20456,1.80108,1.41187,0.62912,0.40167,0.46017,0.27198,1.3358,2.76706,1.75183,0.00047838,0.00047838,0.00047838
12,4778.2,1.13054,1.73202,1.39316,0.49049,0.46039,0.47384,0.2877,1.33512,2.4269,1.74737,0.000454818,0.000454818,0.000454818
13,5176.69,1.09494,1.62612,1.33265,0.87147,0.42731,0.60174,0.3902,1.19202,2.17901,1.66096,0.000431256,0.000431256,0.000431256
14,5573.64,1.09664,1.57156,1.31016,0.52003,0.60779,0.61685,0.38529,1.23104,2.19872,1.71118,0.000407694,0.000407694,0.000407694
15,5968.94,1.06303,1.52659,1.30715,0.54868,0.61697,0.60729,0.41246,1.25683,2.1621,1.73201,0.000384132,0.000384132,0.000384132
16,6363.16,1.02269,1.46674,1.28649,0.53045,0.6105,0.60424,0.37901,1.16279,2.18568,1.64259,0.00036057,0.00036057,0.00036057
17,6757.81,1.06945,1.51519,1.31021,0.52946,0.7162,0.67784,0.46509,1.11534,2.12609,1.54144,0.000337008,0.000337008,0.000337008
18,7151.58,1.0273,1.44268,1.28496,0.68006,0.60863,0.65019,0.44607,1.0403,2.01214,1.46529,0.000313446,0.000313446,0.000313446
19,7545.78,0.99788,1.40588,1.27299,0.63731,0.55829,0.6062,0.40747,1.09528,2.16106,1.54653,0.000289884,0.000289884,0.000289884
20,7940.59,1.0221,1.39025,1.26181,0.68293,0.56182,0.64094,0.39295,1.19996,2.29002,1.65443,0.000266322,0.000266322,0.000266322
21,8328.32,0.95143,1.53004,1.24586,0.74417,0.52603,0.67701,0.41516,1.28303,2.29473,1.73044,0.00024276,0.00024276,0.00024276
22,8719.08,0.92673,1.48826,1.25203,0.63412,0.5771,0.63843,0.40812,1.15603,2.2005,1.59833,0.000219198,0.000219198,0.000219198
23,9110.78,0.89429,1.38191,1.22128,0.54436,0.66275,0.62247,0.42341,1.10357,2.11286,1.50297,0.000195636,0.000195636,0.000195636
24,9500.01,0.85671,1.33243,1.20116,0.60661,0.66041,0.64556,0.44629,1.05298,2.10937,1.51683,0.000172074,0.000172074,0.000172074
25,9889.15,0.85592,1.28155,1.20337,0.58045,0.64261,0.61834,0.43518,1.06052,2.16151,1.50386,0.000148512,0.000148512,0.000148512
26,10278.3,0.83481,1.27422,1.17371,0.57984,0.64453,0.65301,0.43824,1.1033,2.16084,1.5396,0.00012495,0.00012495,0.00012495
27,10668.2,0.80398,1.20996,1.15374,0.58009,0.66389,0.66735,0.4571,1.10611,2.0817,1.53651,0.000101388,0.000101388,0.000101388
28,11057.8,0.82086,1.18234,1.16712,0.65529,0.58994,0.66689,0.45664,1.11672,2.10052,1.55188,7.7826e-05,7.7826e-05,7.7826e-05
29,11445.1,0.79527,1.15965,1.14186,0.64695,0.58298,0.66353,0.45548,1.09676,2.08365,1.55465,5.4264e-05,5.4264e-05,5.4264e-05
30,11834.1,0.80654,1.18456,1.1402,0.63066,0.58718,0.64805,0.45323,1.09998,2.07777,1.55652,3.0702e-05,3.0702e-05,3.0702e-05
