epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,407.129,1.23954,3.73992,1.45344,0.01419,0.58799,0.1953,0.13493,1.00633,4.13248,1.43464,0.000231,0.000231,0.000231
2,826.384,1.29907,3.09082,1.51857,0.74651,0.18995,0.2076,0.11222,1.27882,3.59731,1.66785,0.000445785,0.000445785,0.000445785
3,1222.63,1.27127,2.63415,1.50649,0.47664,0.25968,0.30355,0.138,1.39553,3.31335,1.7087,0.000637007,0.000637007,0.000637007
